,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
205,群益宜蘭,4.14,2.0,2.14,107.12,107.0,凱基中壢,3.1,7.15,-4.06,106.84,107.28
206,兆豐大同,2.1,0.0,2.1,107.26,,永豐永康,11.01,15.06,-4.05,107.45,107.73
207,凱基興隆,3.3,1.2,2.1,107.33,107.5,永豐竹北,16.15,20.2,-4.05,107.16,107.02
208,國票中和,10.1,8.0,2.1,107.35,107.12,中信託文,13.2,17.23,-4.03,107.0,107.0
209,永豐板新,5.1,3.0,2.1,107.3,107.83,元大基孝,6.12,10.13,-4.01,107.24,107.64
210,元大西螺,6.04,4.0,2.04,107.0,107.75,群益土城,0.01,4.02,-4.01,106.58,107.25
211,國票博愛,4.0,2.0,2.0,107.5,107.25,富邦敦南,15.0,19.0,-4.0,107.13,107.08
212,中銀台北,3.0,1.0,2.0,108.0,107.0,永豐信義,0.0,4.0,-4.0,,107.25
213,凱基三峽,2.0,0.0,2.0,107.5,,安泰大發,2.0,6.0,-4.0,107.0,107.5
214,企銀北高,2.0,0.0,2.0,107.0,,永豐新竹,15.0,19.0,-4.0,107.7,107.42
215,華南大安,5.0,3.0,2.0,107.9,107.0,凱基竹北,7.0,11.0,-4.0,107.79,106.73
216,聯邦三重,2.0,0.0,2.0,107.5,,兆豐東門,1.0,5.0,-4.0,107.5,107.2
217,第一稻埕,5.0,3.0,2.0,107.4,107.33,亞東台南,25.0,29.0,-4.0,107.2,107.43
218,日盛台南,3.0,1.0,2.0,107.33,107.0,元大鳳山,7.0,11.0,-4.0,107.36,107.23
219,永興水湳,3.0,1.0,2.0,107.17,107.0,元大松山,1.0,5.0,-4.0,108.0,108.0
220,凱基民權,2.0,0.0,2.0,107.5,,企銀桃園,0.0,4.0,-4.0,,107.25
221,元富吉利,3.0,1.0,2.0,107.17,107.0,致和府前,0.0,4.0,-4.0,,107.0
222,群益基隆,3.0,1.0,2.0,107.33,107.5,凱基天母,0.0,4.0,-4.0,,107.0
223,群益桃園,3.0,1.0,2.0,107.17,107.0,元大仁愛,1.0,5.0,-4.0,107.0,107.7
224,元富新竹,3.0,1.0,2.0,108.0,107.0,兆豐桃鶯,1.2,5.2,-4.0,107.46,107.96
225,寶盛,2.0,0.0,2.0,107.25,,康和台南,4.0,8.0,-4.0,107.12,107.38
226,統一板橋,3.0,1.0,2.0,107.33,107.0,元大新營,0.01,4.0,-3.99,107.0,107.12
227,土銀白河,2.0,0.0,2.0,107.0,,日盛屏東,1.01,5.0,-3.99,107.99,107.35
228,康和延平,2.0,0.0,2.0,107.0,,玉山左營,6.02,10.0,-3.98,107.17,107.2
229,元富中原,2.05,0.08,1.97,107.0,107.5,元大新盛,16.03,20.0,-3.97,107.72,107.4
230,台新三民,33.04,31.1,1.94,107.05,107.16,統一城中,0.05,4.0,-3.95,107.0,107.12
231,美好泰山,2.0,0.1,1.9,107.0,107.5,華南頭份,0.05,4.0,-3.95,107.5,107.38
232,元大高雄,9.0,7.12,1.88,107.22,107.15,永豐中盛,4.12,8.0,-3.88,107.24,107.06
233,統一土城,2.1,0.35,1.75,107.0,107.5,元富中壢,6.12,10.01,-3.88,107.83,107.0
234,元富高雄,2.01,0.35,1.66,107.0,107.03,富邦南屯,2.12,6.0,-3.88,107.47,106.92
235,國票南崁,1.6,0.0,1.6,107.31,,元大福營,0.24,4.0,-3.76,107.0,107.38
