序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,"賣出股數"
723,兆豐新營,108.00,1000,1000,,724,兆豐天母,106.50,0,1000 
725,兆豐天母,107.00,0,6400,,726,兆豐桃園,107.00,3000,1000 
727,兆豐桃園,107.50,1000,1000,,728,兆豐桃園,108.00,2000,1000 
729,兆豐埔墘,107.00,1000,0,,730,兆豐埔墘,107.50,0,1302 
731,兆豐復興,107.00,10000,0,,732,兆豐復興,107.50,200,0 
733,兆豐復興,108.00,0,10000,,734,兆豐南京,107.00,2000,0 
735,兆豐南京,107.50,1000,1000,,736,兆豐南京,108.00,0,1000 
737,兆豐南京,108.50,0,1000,,738,兆豐內湖,107.00,1000,0 
739,兆豐內湖,107.50,0,2000,,740,兆豐寶成,107.00,3200,1390 
741,兆豐寶成,107.50,0,6000,,742,兆豐寶成,108.00,0,1000 
